SEASON,GP,TEAM_NAME,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NET_RATING,OFF_RATING,DEF_RATING,EFG_PCT,TS_PCT,PACE,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT
2021-22,5,Atlanta Hawks,97.4,34.4,78.2,43.8,11.4,35.0,32.6,17.2,22.0,77.10000000000001,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,-12.0,-11.8,104.1,115.9,51.300000000000004,55.400000000000006,94.0,24.6,69.5,47.3,54.1,1.13,15.1,17.5
2021-22,24,Boston Celtics,105.54166666666667,36.708333333333336,81.75,44.92916666666667,13.666666666666666,36.625,36.89583333333334,18.458333333333332,23.166666666666668,80.20833333333334,9.0,33.916666666666664,42.916666666666664,24.5,6.416666666666667,6.25,14.0,20.708333333333332,3.5833333333333335,3.9,110.3,106.3,53.300000000000004,57.4,95.79,27.1,71.3,50.0,66.7,1.67,18.5,15.4
2021-22,6,New Orleans Pelicans,109.83333333333333,39.0,84.33333333333333,46.416666666666664,9.333333333333334,26.333333333333332,34.75,22.5,28.833333333333332,78.71666666666667,15.166666666666666,30.5,45.666666666666664,21.333333333333332,6.333333333333333,3.5,13.833333333333334,21.166666666666668,-1.5,-2.2,115.6,117.8,51.800000000000004,56.599999999999994,94.75,38.7,77.0,56.3,54.7,1.47,15.9,15.299999999999999
2021-22,5,Chicago Bulls,95.2,36.4,90.2,40.46,10.4,36.8,29.439999999999998,12.0,14.4,80.10000000000002,8.2,35.8,44.0,23.0,7.8,3.2,12.6,18.6,-14.6,-13.8,94.4,108.3,46.1,49.3,101.1,18.5,77.60000000000001,46.300000000000004,63.2,1.77,17.2,12.9
2021-22,18,Dallas Mavericks,106.33333333333333,36.27777777777778,80.83333333333333,44.81111111111111,15.777777777777779,41.5,37.82222222222222,18.0,23.333333333333332,77.87222222222223,6.5,30.0,36.5,19.166666666666668,7.166666666666667,2.7777777777777777,9.38888888888889,21.11111111111111,0.7222222222222222,0.6,113.9,113.3,54.6,58.4,93.31,20.7,70.6,45.1,52.800000000000004,1.88,15.7,10.9
2021-22,5,Denver Nuggets,110.0,39.4,82.8,47.86,11.2,31.4,35.78,20.0,25.2,79.7,11.2,30.6,41.8,25.0,7.0,3.4,15.4,25.0,-8.0,-8.0,113.9,121.9,54.300000000000004,58.599999999999994,96.7,33.900000000000006,75.5,54.0,63.5,1.52,18.2,17.0
2021-22,22,Golden State Warriors,111.86363636363636,41.36363636363637,86.13636363636364,48.259090909090915,14.0,37.31818181818182,37.68181818181819,15.136363636363637,19.772727272727273,77.70454545454547,9.818181818181818,34.09090909090909,43.90909090909091,27.0,7.7272727272727275,4.954545454545454,13.772727272727273,21.545454545454547,5.045454545454546,4.9,114.5,109.6,56.10000000000001,59.0,97.61,28.299999999999997,73.1,51.5,65.3,1.86,19.6,14.899999999999999
2021-22,18,Miami Heat,104.22222222222223,38.0,85.33333333333333,44.68888888888888,10.88888888888889,34.77777777777778,31.41111111111112,17.333333333333332,21.555555555555557,79.5611111111111,9.833333333333334,31.22222222222222,41.05555555555556,21.88888888888889,8.333333333333334,3.6666666666666665,12.0,21.444444444444443,3.8333333333333335,3.8,110.7,107.0,50.9,55.00000000000001,93.97,30.3,74.8,51.6,57.599999999999994,1.69,16.8,13.8
2021-22,12,Milwaukee Bucks,102.75,38.5,88.0,43.875000000000014,10.583333333333334,32.333333333333336,32.083333333333336,15.166666666666666,20.75,73.60833333333332,9.75,40.666666666666664,50.416666666666664,20.833333333333332,6.333333333333333,4.5,13.083333333333334,19.083333333333332,1.5,0.6,103.4,102.7,49.8,52.900000000000006,99.0,26.400000000000002,80.4,53.5,54.1,1.52,15.6,13.8
2021-22,6,Minnesota Timberwolves,109.16666666666667,36.333333333333336,82.0,44.23333333333333,13.833333333333334,35.666666666666664,38.88333333333333,22.666666666666668,28.0,81.05000000000001,7.0,33.0,40.0,22.833333333333332,8.166666666666666,7.833333333333333,16.833333333333332,26.833333333333332,-5.5,-5.9,105.8,111.7,52.7,57.9,102.92,23.400000000000002,68.8,47.0,62.8,1.29,16.7,17.1
2021-22,4,Brooklyn Nets,109.0,39.25,78.0,50.275000000000006,11.5,27.25,42.974999999999994,19.0,25.75,74.62500000000001,8.5,25.5,34.0,22.25,8.0,6.5,14.5,24.75,-4.5,-4.1,115.0,119.2,57.699999999999996,61.0,95.0,28.999999999999996,64.2,47.099999999999994,56.699999999999996,1.46,17.3,16.1
2021-22,12,Philadelphia 76ers,104.5,36.416666666666664,78.25,46.82500000000001,12.416666666666666,33.333333333333336,37.44166666666667,19.25,22.666666666666668,85.41666666666669,7.666666666666667,31.333333333333332,39.0,21.75,6.083333333333333,4.333333333333333,13.666666666666666,20.583333333333332,0.3333333333333333,1.0,112.3,111.3,54.50000000000001,59.199999999999996,92.53,25.900000000000002,70.19999999999999,49.3,59.699999999999996,1.47,17.3,15.8
2021-22,13,Phoenix Suns,107.61538461538461,41.15384615384615,82.76923076923077,49.85384615384616,9.846153846153847,27.153846153846153,36.223076923076924,15.461538461538462,18.923076923076923,81.51538461538462,9.461538461538462,30.692307692307693,40.15384615384615,25.692307692307693,6.615384615384615,3.769230769230769,12.76923076923077,22.46153846153846,-1.0,0.0,114.9,114.9,55.7,59.099999999999994,94.12,27.800000000000004,68.60000000000001,49.1,62.4,1.93,19.6,14.2
