SEASON,GP,TEAM_NAME,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NET_RATING,OFF_RATING,DEF_RATING,EFG_PCT,TS_PCT,PACE,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT
2021-22,82,Atlanta Hawks,113.9390243902439,41.47560975609756,88.3048780487805,47.113414634146345,12.878048780487806,34.40243902439025,37.17439024390244,18.109756097560975,22.304878048780488,81.17682926829266,10.036585365853659,33.9390243902439,43.97560975609756,24.597560975609756,7.158536585365853,4.2439024390243905,11.268292682926829,18.70731707317073,1.5609756097560976,1.6,115.4,113.7,54.300000000000004,58.099999999999994,98.67,26.900000000000002,73.1,50.1,59.3,2.08,18.1,12.0
2021-22,82,Boston Celtics,111.7560975609756,40.74390243902439,87.40243902439025,46.70853658536587,13.231707317073171,37.1219512195122,35.24390243902439,17.036585365853657,20.890243902439025,81.6487804878049,10.524390243902438,35.548780487804876,46.073170731707314,24.829268292682926,7.2073170731707314,5.829268292682927,13.048780487804878,18.548780487804876,7.280487804878049,7.4,113.6,106.2,54.2,57.8,97.26,27.700000000000003,72.5,50.9,60.9,1.82,18.2,13.900000000000002
2021-22,82,Cleveland Cavaliers,107.79268292682927,39.69512195121951,84.63414634146342,46.96707317073169,11.621951219512194,32.75609756097561,35.28170731707316,16.78048780487805,22.073170731707318,76.67073170731705,10.207317073170731,33.97560975609756,44.18292682926829,25.170731707317074,7.073170731707317,4.182926829268292,13.268292682926829,17.475609756097562,2.136585365853658,2.1,111.0,108.9,53.800000000000004,57.099999999999994,96.83,27.700000000000003,72.39999999999999,50.6,63.4,1.75,18.7,14.799999999999999
2021-22,82,New Orleans Pelicans,109.29268292682927,40.170731707317074,87.95121951219512,45.79512195121949,10.646341463414634,32.0609756097561,33.55609756097561,18.304878048780488,23.20731707317073,78.97682926829272,11.963414634146341,33.24390243902439,45.207317073170735,24.963414634146343,8.292682926829269,4.0,13.28048780487805,19.658536585365855,-1.1219512195121952,-0.8,111.2,112.0,51.7,55.7,98.02,30.599999999999998,74.2,51.800000000000004,62.1,1.78,18.1,14.299999999999999
2021-22,82,Chicago Bulls,111.60975609756098,41.73170731707317,86.91463414634147,48.02560975609757,10.634146341463415,28.829268292682926,36.64999999999998,17.51219512195122,21.536585365853657,80.86097560975608,8.670731707317072,33.65853658536585,42.329268292682926,23.878048780487806,7.134146341463414,4.097560975609756,12.121951219512194,18.78048780487805,-0.3902439024390244,-0.5,112.7,113.2,54.1,57.9,98.76,24.9,73.5,49.5,57.199999999999996,1.86,17.8,13.0
2021-22,82,Dallas Mavericks,108.02439024390245,39.292682926829265,85.14634146341463,46.23048780487806,13.085365853658537,37.353658536585364,35.10243902439024,16.353658536585368,21.20731707317073,77.51585365853657,9.25609756097561,33.76829268292683,43.02439024390244,23.390243902439025,6.7317073170731705,3.9634146341463414,11.707317073170731,19.658536585365855,3.3048780487804876,3.5,112.5,109.1,53.800000000000004,57.199999999999996,95.64,25.6,73.3,49.6,59.5,1.87,17.8,13.0
2021-22,82,Denver Nuggets,112.71951219512195,41.65853658536585,86.32926829268293,48.37926829268294,12.670731707317072,35.90243902439025,35.15487804878049,16.73170731707317,21.036585365853657,79.63292682926829,9.170731707317072,34.9390243902439,44.109756097560975,27.79268292682927,7.219512195121951,3.7195121951219514,13.841463414634147,19.98780487804878,2.341463414634146,2.3,113.8,111.5,55.60000000000001,59.0,98.41,26.8,75.2,51.5,66.7,1.92,20.0,14.6
2021-22,82,Golden State Warriors,111.0,40.52439024390244,86.42682926829268,46.918292682926825,14.341463414634147,39.40243902439025,36.452439024390245,15.609756097560975,20.304878048780488,77.17073170731706,9.75609756097561,35.73170731707317,45.48780487804878,27.109756097560975,8.768292682926829,4.536585365853658,14.317073170731707,21.01219512195122,5.475609756097561,5.5,112.1,106.6,55.2,58.199999999999996,98.74,26.900000000000002,73.6,51.0,66.9,1.82,19.5,15.0
2021-22,82,Houston Rockets,109.71951219512195,39.3780487804878,86.3780487804878,45.697560975609775,13.475609756097562,38.65853658536585,34.58536585365855,17.48780487804878,24.51219512195122,71.27195121951219,9.585365853658537,32.4390243902439,42.02439024390244,23.5609756097561,7.317073170731708,4.658536585365853,15.658536585365853,20.634146341463413,-8.475609756097562,-8.3,108.1,116.4,53.400000000000006,56.49999999999999,101.16,26.5,71.0,48.5,59.8,1.43,17.1,16.2
2021-22,82,LA Clippers,108.41463414634147,40.0609756097561,87.4390243902439,45.878048780487795,12.768292682926829,34.170731707317074,37.30365853658535,15.524390243902438,19.585365853658537,78.97439024390246,9.109756097560975,34.8780487804878,43.98780487804878,24.01219512195122,7.414634146341464,4.951219512195122,13.024390243902438,18.634146341463413,0.08536585365853659,0.0,109.5,109.5,53.1,56.39999999999999,98.51,25.4,70.6,48.6,59.9,1.75,17.7,13.900000000000002
2021-22,82,Los Angeles Lakers,112.09756097560975,41.646341463414636,88.76829268292683,46.91463414634146,11.975609756097562,34.46341463414634,34.68170731707316,16.829268292682926,22.975609756097562,73.52073170731708,9.536585365853659,34.46341463414634,44.0,24.0,7.634146341463414,5.182926829268292,13.890243902439025,20.170731707317074,-3.048780487804878,-2.9,110.0,112.8,53.7,56.699999999999996,100.47,25.6,72.0,49.0,57.599999999999994,1.65,17.3,14.2
